variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Alpha,18334,4.149961183328147e-25,2.610272140518232e-24,NA,-4.7010432669311945e-24,5.531035503596824e-24,2020-03-13,8,NA,NA,NA
C.1.2,18334,2.762426227747646e-66,5.7330314373374e-65,NA,-1.0960292516642437e-64,1.1512777762191965e-64,2020-03-13,8,NA,NA,NA
Other,18334,0.999999715234798,9.945738527316426e-8,NA,0.9999995203019049,0.9999999101676912,2020-03-13,8,7.999997721878384,NA,NA
Omicron,18334,2.669038012575682e-44,2.0057083769692298e-43,NA,-3.664212381092407e-43,4.198019983607544e-43,2020-03-13,8,NA,NA,NA
Delta,18335,1.4724889536448948e-52,1.0455475299151145e-51,NA,-1.9019866073939493e-51,2.1964843981229282e-51,2020-03-14,14,NA,12.182124669614222,NA
Beta,18335,3.078472274502975e-7,1.0699296956366227e-7,NA,9.814486050652928e-8,5.175495943940657e-7,2020-03-14,14,NA,12.182124669614222,NA
Alpha,18335,5.1406885311891555e-25,3.2211342825230754e-24,NA,-5.7992383299935784e-24,6.82737603623141e-24,2020-03-14,14,NA,12.182124669614222,NA
C.1.2,18335,4.567185236756381e-66,9.446119362307517e-65,NA,-1.8057335220113552e-64,1.8970772267464828e-64,2020-03-14,14,NA,12.182124669614222,NA
Other,18335,0.9999996921527726,1.069929696401235e-7,NA,0.9999994824504055,0.9999999018551398,2020-03-14,14,13.999995690138817,12.182124669614222,12.18212091938092
Omicron,18335,2.9947754929624474e-44,2.2447322612101316e-43,NA,-4.1001168376107686e-43,4.699071936203259e-43,2020-03-14,14,NA,12.182124669614222,NA
Delta,18336,2.2232322433824247e-52,1.5730480282955674e-51,NA,-2.860794257072813e-51,3.305440705749298e-51,2020-03-15,13,NA,16.50997882942701,NA
Beta,18336,3.327969507554779e-7,1.1509572256734693e-7,NA,1.0721347974886406e-7,5.583804217620918e-7,2020-03-15,13,NA,16.50997882942701,NA
Alpha,18336,6.367796316932072e-25,3.974809753571421e-24,NA,-7.153704330705303e-24,8.427263594091718e-24,2020-03-15,13,NA,16.50997882942701,NA
C.1.2,18336,7.550726381288543e-66,1.556322916064138e-64,NA,-2.9748295999871777e-64,3.125844127612948e-64,2020-03-15,13,NA,16.50997882942701,NA
Other,18336,0.9999996672030493,1.1509572265727243e-7,NA,0.9999994416195781,0.9999998927865206,2020-03-15,13,12.999995673639642,16.50997882942701,16.5099733349564
Omicron,18336,3.360297253180147e-44,2.5122680111413093e-43,NA,-4.587925096031022e-43,5.259984546667051e-43,2020-03-15,13,NA,16.50997882942701,NA
Delta,18337,3.356611931035153e-52,2.3665648787060763e-51,NA,-4.3027207362377947e-51,4.9740431224448255e-51,2020-03-16,11,NA,21.88974615252007,NA
Beta,18337,3.597647956523804e-7,1.2380787678585882e-7,NA,1.1710581614972455e-7,6.024237751550363e-7,2020-03-16,11,NA,21.88974615252007,NA
Alpha,18337,7.88762905524821e-25,4.9046400475166015e-24,NA,-8.824154944740536e-24,1.0401680755790177e-23,2020-03-16,11,NA,21.88974615252007,NA
C.1.2,18337,1.2482707096160386e-65,2.564017151320132e-64,NA,-4.90055420136884e-64,5.150208343292048e-64,2020-03-16,11,NA,21.88974615252007,NA
Other,18337,0.9999996402352044,1.2380787682002895e-7,NA,0.9999993975762248,0.999999882894184,2020-03-16,11,10.999996042587249,21.88974615252007,21.889738277360017
